clusterid - Prediction/OutPut,companycode,ff_assets_curr,ff_curr_ratio,ff_debt,ff_debt_eq,ff_ebitda_oper,ff_inven_turn,ff_invest_cf,ff_ltd_com_eq,ff_oper_cf,ff_roce,ff_sales,debt_ltd_com_eq_interaction,sale_assets_curr_interaction,sale_debt_interaction,ebitda_sales_interaction
3,BC7CYG-R,81.87936647,1.105978261,0.171184023,0.001901542,5.227883961,11.39669901,-242.4797284,0.000950771,-26.26106654,-0.086192184,142.0886213,0.00016275680473173298,11634.126294639747,24.323301816657487,742.822824334873
6,BC7CYG-R,429.2938093,1.083221401,101.3939237,0.143241273,258.0113452,26.01579979,-34.97481637,0.101691468,89.8783196,0.101894747,359.5736287,10.31089694733299,154362.7327884468,36458.58107293993,92774.07563933232
3,BCHX7H-R,119.8,1.751461988,25.0,0.355113636,36.1,3.11815562,-4.4,0.338068182,22.1,0.310598111,176.2,8.45170455,21108.76,4405.0,6360.82
6,BCHX7H-R,134.3,1.902266289,45.0,0.513112885,43.0,3.087830688,-24.8,0.488027366,24.4,0.267221802,228.2,21.96123147,30647.260000000002,10269.0,9812.6
3,BCJCQJ-R,26.8092326,1.539854031,0.0,0.0,29.96544,6.013167847,27.90048878,0.0,-5.091165123,0.0,13.57513562,0.0,363.9389684131252,0.0,406.7849119129728
6,BCJCQJ-R,32.226,1.716864888,0.0,0.0,30.15979,6.090285406,34.63513313,0.0,-12.75510337,0.0,19.11341407,0.0,615.94888181982,0.0,576.4565545342454
3,BCKDKC-R,17.779,0.417229888,0.126,0.027968923,-1.095,2.674357918,0.0,0.0,1.609136544,-0.365929204,22.716,0.0,403.867764,2.862216,-24.87402
6,BCKDKC-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375,0.5506560769205148,1209.683475,318.7818248740125,300.5025324175875
3,BDK577-R,26.8092326,1.539854031,30.4,0.022218974,-74.2,6.013167847,-18.4,0.0,-28.3,0.0,-93.4,0.0,-2503.9823248400003,-2839.36,6930.280000000001
6,BDK577-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375,0.5506560769205148,1209.683475,318.7818248740125,300.5025324175875
3,BDPLPD-R,26.8092326,1.539854031,7.591614679,0.131258594,2.032,6.013167847,-1.4,0.06221338,1.609136544,0.0,22.93340572,0.472300008838205,614.8270082576505,174.10157950341457,46.60068042304
6,BDPLPD-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375,0.5506560769205148,1209.683475,318.7818248740125,300.5025324175875
3,BF4V74-R,22.90647061,4.917085427,0.467464062,0.01648777,10.55402414,6.013167847,-5.570222066,0.011452557,12.84356117,0.208023221,29.35849368,0.0053536588155065346,672.4994726347907,13.724040709854128,309.8502510127574
6,BF4V74-R,46.04082838,4.811357148,0.397209199,0.005578714,10.40570232,6.090285406,-27.38013108,0.002876398,9.663319048,0.114926703,37.92107436,0.001142531745585202,1745.9176765939783,15.062599571755037,394.5954114447445
3,BFG30Z-R,736.577,0.424064665,286.051,1.474314901,4.397,6.013167847,88.156,0.274168526,-4.51,0.0,90.395,78.426181030826,66582.87791499999,25857.580144999996,397.466815
6,BFG30Z-R,927.947,0.3807815,298.381,1.485376769,5.025,6.090285406,37.688,0.248268858,37.492,0.0,105.406,74.078710118898,97811.181482,31451.147686,529.66515
3,BFHG3R-R,26.8092326,1.539854031,0.0,0.0,-0.13238,6.013167847,138.7418441,0.0,19.0428292,0.0,8.190011322,0.0,219.56791852813151,0.0,-1.08419369880636
