clusterid - Prediction/OutPut,companycode,ff_assets_curr,ff_curr_ratio,ff_debt,ff_debt_eq,ff_ebitda_oper,ff_inven_turn,ff_invest_cf,ff_ltd_com_eq,ff_oper_cf,ff_roce,ff_sales
3,CM0H43-R,319.9224551,6.054101197,0.0,0.0,345.6064321,4.279909315,-102.4693154,0.0,354.7060953,0.256359328,646.2619521
6,X9RQKW-R,2216.0,1.317479191,1114.0,0.733860343,805.0,8.898550725,-76.0,0.542567568,171.0,0.263487099,3453.0
3,TBRKW6-R,2.522,1.601269841,1.467,0.555471412,-0.897,0.940331492,-0.171,0.457896639,-0.068,-0.262692599,2.398
3,CGMBGB-R,77.239,2.558768966,142.023,0.505495483,38.889,2.908442826,-85.874,0.502064365,38.711,0.062634357,129.801
1,J1DM86-R,25.608,0.652699189,15.236,-11.63053435,5.212,18.51430596,0.0,-4.803816794,1.609136544,0.101617888,150.583
5,X31C9G-R,2040.816416,1.639108555,1949.516734,0.497033318,1176.995899,5.753145289,-603.6104373,0.512243878,1102.322448,0.127561439,5923.205219
4,FTXMM6-R,0.841346,0.711973327,0.0,0.0,-3.620893,6.090285406,-0.421939,0.0,-0.985091,-14.58977284,2.301172
3,GN84D0-R,65.4,0.588129496,115.7,0.840232389,51.2,6.013167847,-5.1,0.774146696,51.0,0.131707317,178.4
2,F5V75Q-R,102.5,1.080084299,18.5,1.178343949,8.1,664.0,-2.2,0.140127389,3.7,0.114173228,231.9
1,Q8D48N-R,18674.0,0.788931136,24173.0,1.132649236,9776.0,2.005263605,-1806.0,1.366456327,7202.0,0.133494489,34114.0
2,WFM6M4-R,4.604821145,27.0,0.0,0.0,-0.748922888,6.090285406,0.0,0.0,-0.756923636,-0.158973453,0.0
3,V99YM6-R,26.8092326,1.539854031,0.0,0.0,2.913,6.013167847,-1.2,0.0,-0.949,0.0,0.17
6,BZWQLT-R,5.013843257,7.015495868,0.0,0.0,-1.30008,0.0,4.152536876,0.0,-1.095030736,-0.058172889,0.0
3,JMQ4NT-R,19.960818,4.76803778,0.822776,0.036475471,5.998761,2.230534203,-2.282623,0.031245335,5.462587,0.15785143,21.141294
5,JPV5LS-R,2584.0,0.827144686,1741.0,0.230901857,843.0,6.317979198,2457.0,0.162781404,317.0,-0.013396954,6883.0
4,TP1K7K-R,14.906,10.80144928,0.0,0.0,-2.781,6.090285406,0.0,0.0,-3.67,-0.205604022,0.0
6,RYNCF6-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375
6,KHTHDG-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375
2,KK460N-R,0.014471,1.11110258,0.0,0.0,-0.12602,6.013167847,0.0,0.0,-0.143542,-87.09053214,0.0
2,CJ1H58-R,142.511841,32.79484807,6.970375429,0.044157638,-14.78524069,8.936462863,-78.1926831,0.040913367,-14.88562606,-0.097894016,0.854234495
6,VT6SKQ-R,1324.2,1.175082084,163.4,0.344580346,148.1,9.71855157,-5.1,0.083930831,109.4,0.217151713,3212.8
5,B03YJQ-R,11.213,0.829302566,55.123,92.48825503,-2.755,13.56440072,1.919,87.61577181,4.926,-0.144504978,24.228
5,BJ362H-R,2245.5,1.474779982,1902.8,0.701157049,484.6,4.864998594,-15.0,0.642641315,487.2,0.043340868,6157.5
3,GN02N2-R,28.987,2.016066212,8.245,0.188065966,5.782,43.43338438,-0.779,0.124084761,4.986,0.074415256,49.287
2,JZN90M-R,32.48772565,129.0410557,0.0,0.0,-2.560162864,6.090285406,10.21737842,0.0,-2.299855391,-0.093542212,2.075904882
1,MB9PVF-R,0.05589,0.522869091,0.048119,-1.564387659,-0.083553,6.013167847,0.0,-0.871679834,-0.211513,25.75373702,0.078333
5,F4HTVH-R,1.466114,0.674318777,2.724651,11.73523217,-1.518407,6.090285406,-1.874365,11.66733139,-1.103855,-1.098599384,1.474504
6,R80NBW-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375
